County,Count,Year,Suppression Information,Type of Overdose Death,County Code Number,County Code Text,State FIPS Code,County FIPS,Latitude,Longitude,Georeferenced Latitude & Longitude
Perry,,2013,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,50,50,42,99,40.40415317,-77.25907385,POINT (-77.25907385 40.40415317)
Lawrence,30,2019,,Any Drug Overdose Deaths,37,37,42,73,40.99325035,-80.33754114,POINT (-80.33754114 40.99325035)
Indiana,19,2018,,Any Drug Overdose Deaths,32,32,42,63,40.65295497,-79.09333493,POINT (-79.09333493 40.65295497)
York,139,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,67,67,42,133,39.92192531,-76.72576052,POINT (-76.72576052 39.92192531)
York,88,2015,,Any Drug Overdose Deaths,67,67,42,133,39.92192531,-76.72576052,POINT (-76.72576052 39.92192531)
Schuylkill,60,2019,,Any Drug Overdose Deaths,54,54,42,107,40.70751243,-76.22332385,POINT (-76.22332385 40.70751243)
Perry,15,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,50,50,42,99,40.40415317,-77.25907385,POINT (-77.25907385 40.40415317)
Armstrong,27,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,3,3,42,5,40.81509526,-79.47316899,POINT (-79.47316899 40.81509526)
Clinton,,2013,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,18,18,42,35,41.23286274,-77.6428376,POINT (-77.6428376 41.23286274)
Wyoming,,2014,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,66,66,42,131,41.51892488,-76.01813003,POINT (-76.01813003 41.51892488)
Mckean,,2017,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,42,42,42,83,41.81037074,-78.5712202,POINT (-78.5712202 41.81037074)
Clearfield,13,2015,,Any Drug Overdose Deaths,17,17,42,33,41.000429,-78.47558343,POINT (-78.47558343 41.000429)
Forest,0,2017,,Any Drug Overdose Deaths,27,27,42,53,41.51357876,-79.23780995,POINT (-79.23780995 41.51357876)
Tioga,,2019,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,59,59,42,117,41.77333834,-77.25788076,POINT (-77.25788076 41.77333834)
Lackawanna,42,2013,,Any Drug Overdose Deaths,35,35,42,69,41.43910064,-75.61218345,POINT (-75.61218345 41.43910064)
Lackawanna,52,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,35,35,42,69,41.43910064,-75.61218345,POINT (-75.61218345 41.43910064)
Washington,102,2016,,Any Drug Overdose Deaths,63,63,42,125,40.19109663,-80.25180083,POINT (-80.25180083 40.19109663)
York,85,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,67,67,42,133,39.92192531,-76.72576052,POINT (-76.72576052 39.92192531)
Huntingdon,,2016,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,31,31,42,61,40.416105,-77.9827661,POINT (-77.9827661 40.416105)
Sullivan,0,2015,,Any Drug Overdose Deaths,57,57,42,113,41.4480994,-76.5147922,POINT (-76.5147922 41.4480994)
Butler,90,2017,,Any Drug Overdose Deaths,10,10,42,19,40.91083185,-79.91711779,POINT (-79.91711779 40.91083185)
Fulton,,2012,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,29,29,42,57,39.92487511,-78.11485045,POINT (-78.11485045 39.92487511)
Lehigh,63,2012,,Any Drug Overdose Deaths,39,39,42,77,40.61464794,-75.60099481,POINT (-75.60099481 40.61464794)
Snyder,,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,55,55,42,109,40.77113737,-77.07255968,POINT (-77.07255968 40.77113737)
Erie,55,2014,,Any Drug Overdose Deaths,25,25,42,49,41.99413787,-80.0407591,POINT (-80.0407591 41.99413787)
Clinton,,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,18,18,42,35,41.23286274,-77.6428376,POINT (-77.6428376 41.23286274)
Potter,,2017,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,53,53,42,105,41.74420644,-77.89879229,POINT (-77.89879229 41.74420644)
Fayette,60,2016,,Any Drug Overdose Deaths,26,26,42,51,39.9194478,-79.65189635,POINT (-79.65189635 39.9194478)
Armstrong,13,2013,,Any Drug Overdose Deaths,3,3,42,5,40.81509526,-79.47316899,POINT (-79.47316899 40.81509526)
Clearfield,19,2018,,Any Drug Overdose Deaths,17,17,42,33,41.000429,-78.47558343,POINT (-78.47558343 41.000429)
Sullivan,0,2014,,Any Drug Overdose Deaths,57,57,42,113,41.4480994,-76.5147922,POINT (-76.5147922 41.4480994)
Pennsylvania,5425,2017,,Any Drug Overdose Deaths,0,0,42,0,39.346129,-75.167756,POINT (-75.167756 39.346129)
Centre,,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,14,14,42,27,40.9193135,-77.82500112,POINT (-77.82500112 40.9193135)
Columbia,22,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,19,19,42,37,41.04912086,-76.4100218,POINT (-76.4100218 41.04912086)
Dauphin,120,2018,,Any Drug Overdose Deaths,22,22,42,43,40.41974636,-76.77960568,POINT (-76.77960568 40.41974636)
Beaver,104,2016,,Any Drug Overdose Deaths,4,4,42,7,40.68349245,-80.35107356,POINT (-80.35107356 40.68349245)
Dauphin,36,2012,,Any Drug Overdose Deaths,22,22,42,43,40.41974636,-76.77960568,POINT (-76.77960568 40.41974636)
Allegheny,326,2014,,Any Drug Overdose Deaths,2,2,42,3,40.46735543,-79.98619843,POINT (-79.98619843 40.46735543)
Greene,,2014,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,30,30,42,59,39.85480393,-80.22943817,POINT (-80.22943817 39.85480393)
Perry,,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,50,50,42,99,40.40415317,-77.25907385,POINT (-77.25907385 40.40415317)
Juniata,,2012,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,34,34,42,67,40.53433008,-77.405775,POINT (-77.405775 40.53433008)
Erie,52,2013,,Any Drug Overdose Deaths,25,25,42,49,41.99413787,-80.0407591,POINT (-80.0407591 41.99413787)
Union,,2018,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,60,60,42,119,40.96473131,-77.06415803,POINT (-77.06415803 40.96473131)
Fayette,40,2015,,Any Drug Overdose Deaths,26,26,42,51,39.9194478,-79.65189635,POINT (-79.65189635 39.9194478)
Delaware,203,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,23,23,42,45,39.91657867,-75.40627712,POINT (-75.40627712 39.91657867)
Bucks,185,2019,,Any Drug Overdose Deaths,9,9,42,17,40.33501133,-75.11291241,POINT (-75.11291241 40.33501133)
Northumberland,12,2015,,Any Drug Overdose Deaths,49,49,42,97,40.85150926,-76.71188423,POINT (-76.71188423 40.85150926)
Warren,,2014,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,62,62,42,123,41.81675237,-79.27858158,POINT (-79.27858158 41.81675237)
Dauphin,95,2017,,Any Drug Overdose Deaths,22,22,42,43,40.41974636,-76.77960568,POINT (-76.77960568 40.41974636)
Wyoming,,2012,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,66,66,42,131,41.51892488,-76.01813003,POINT (-76.01813003 41.51892488)
Centre,12,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,14,14,42,27,40.9193135,-77.82500112,POINT (-77.82500112 40.9193135)
Franklin,33,2018,,Any Drug Overdose Deaths,28,28,42,55,39.92786197,-77.72398845,POINT (-77.72398845 39.92786197)
Greene,,2013,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,30,30,42,59,39.85480393,-80.22943817,POINT (-80.22943817 39.85480393)
Susquehanna,10,2016,,Any Drug Overdose Deaths,58,58,42,115,41.8205686,-75.80250303,POINT (-75.80250303 41.8205686)
Schuylkill,57,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,54,54,42,107,40.70751243,-76.22332385,POINT (-76.22332385 40.70751243)
Luzerne,169,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,40,40,42,79,41.17836439,-75.9919961,POINT (-75.9919961 41.17836439)
Montour,21,2019,,Any Drug Overdose Deaths,47,47,42,93,41.02801824,-76.66470527,POINT (-76.66470527 41.02801824)
Schuylkill,58,2018,,Any Drug Overdose Deaths,54,54,42,107,40.70751243,-76.22332385,POINT (-76.22332385 40.70751243)
Clinton,,2019,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,18,18,42,35,41.23286274,-77.6428376,POINT (-77.6428376 41.23286274)
Armstrong,12,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,3,3,42,5,40.81509526,-79.47316899,POINT (-79.47316899 40.81509526)
Bradford,12,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,8,8,42,15,41.79117814,-76.51825624,POINT (-76.51825624 41.79117814)
Huntingdon,,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,31,31,42,61,40.416105,-77.9827661,POINT (-77.9827661 40.416105)
Northumberland,20,2018,,Any Drug Overdose Deaths,49,49,42,97,40.85150926,-76.71188423,POINT (-76.71188423 40.85150926)
Potter,,2016,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,53,53,42,105,41.74420644,-77.89879229,POINT (-77.89879229 41.74420644)
Centre,19,2016,,Any Drug Overdose Deaths,14,14,42,27,40.9193135,-77.82500112,POINT (-77.82500112 40.9193135)
Cumberland,33,2015,,Any Drug Overdose Deaths,21,21,42,41,40.16759839,-77.26866271,POINT (-77.26866271 40.16759839)
Mifflin,,2019,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,44,44,42,87,40.61274928,-77.62003089,POINT (-77.62003089 40.61274928)
Washington,53,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,63,63,42,125,40.19109663,-80.25180083,POINT (-80.25180083 40.19109663)
Lackawanna,92,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,35,35,42,69,41.43910064,-75.61218345,POINT (-75.61218345 41.43910064)
Clinton,,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,18,18,42,35,41.23286274,-77.6428376,POINT (-77.6428376 41.23286274)
Montgomery,215,2016,,Any Drug Overdose Deaths,46,46,42,91,40.20989874,-75.37252001,POINT (-75.37252001 40.20989874)
Lehigh,184,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,39,39,42,77,40.61464794,-75.60099481,POINT (-75.60099481 40.61464794)
Cumberland,31,2014,,Any Drug Overdose Deaths,21,21,42,41,40.16759839,-77.26866271,POINT (-77.26866271 40.16759839)
Beaver,65,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,4,4,42,7,40.68349245,-80.35107356,POINT (-80.35107356 40.68349245)
Montgomery,89,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,46,46,42,91,40.20989874,-75.37252001,POINT (-75.37252001 40.20989874)
Wayne,12,2017,,Any Drug Overdose Deaths,64,64,42,127,41.64969805,-75.3051535,POINT (-75.3051535 41.64969805)
Butler,20,2012,,Any Drug Overdose Deaths,10,10,42,19,40.91083185,-79.91711779,POINT (-79.91711779 40.91083185)
Potter,0,2014,,Any Drug Overdose Deaths,53,53,42,105,41.74420644,-77.89879229,POINT (-77.89879229 41.74420644)
Northumberland,26,2017,,Any Drug Overdose Deaths,49,49,42,97,40.85150926,-76.71188423,POINT (-76.71188423 40.85150926)
Schuylkill,33,2012,,Any Drug Overdose Deaths,54,54,42,107,40.70751243,-76.22332385,POINT (-76.22332385 40.70751243)
Clearfield,,2017,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,17,17,42,33,41.000429,-78.47558343,POINT (-78.47558343 41.000429)
Juniata,,2014,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,34,34,42,67,40.53433008,-77.405775,POINT (-77.405775 40.53433008)
Perry,14,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,50,50,42,99,40.40415317,-77.25907385,POINT (-77.25907385 40.40415317)
Berks,58,2014,,Any Drug Overdose Deaths,6,6,42,11,40.41939635,-75.93077327,POINT (-75.93077327 40.41939635)
York,204,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,67,67,42,133,39.92192531,-76.72576052,POINT (-76.72576052 39.92192531)
Carbon,34,2018,,Any Drug Overdose Deaths,13,13,42,25,40.91936701,-75.71107039,POINT (-75.71107039 40.91936701)
Elk,,2019,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,24,24,42,47,41.42819416,-78.64947713,POINT (-78.64947713 41.42819416)
Mckean,,2013,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,42,42,42,83,41.81037074,-78.5712202,POINT (-78.5712202 41.81037074)
Sullivan,,2016,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,57,57,42,113,41.4480994,-76.5147922,POINT (-76.5147922 41.4480994)
Wayne,17,2018,,Any Drug Overdose Deaths,64,64,42,127,41.64969805,-75.3051535,POINT (-75.3051535 41.64969805)
Potter,,2015,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,53,53,42,105,41.74420644,-77.89879229,POINT (-77.89879229 41.74420644)
Carbon,27,2019,,Any Drug Overdose Deaths,13,13,42,25,40.91936701,-75.71107039,POINT (-75.71107039 40.91936701)
Sullivan,0,2013,,Any Drug Overdose Deaths,57,57,42,113,41.4480994,-76.5147922,POINT (-76.5147922 41.4480994)
Dauphin,72,2015,,Any Drug Overdose Deaths,22,22,42,43,40.41974636,-76.77960568,POINT (-76.77960568 40.41974636)
Butler,27,2013,,Any Drug Overdose Deaths,10,10,42,19,40.91083185,-79.91711779,POINT (-79.91711779 40.91083185)
Cambria,68,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,11,11,42,21,40.49127491,-78.71894174,POINT (-78.71894174 40.49127491)
Susquehanna,13,2014,,Any Drug Overdose Deaths,58,58,42,115,41.8205686,-75.80250303,POINT (-75.80250303 41.8205686)
Warren,,2019,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,62,62,42,123,41.81675237,-79.27858158,POINT (-79.27858158 41.81675237)
Susquehanna,10,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,58,58,42,115,41.8205686,-75.80250303,POINT (-75.80250303 41.8205686)
Blair,41,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,7,7,42,13,40.48555024,-78.34907687,POINT (-78.34907687 40.48555024)
Adams,,2019,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,1,1,42,1,39.87209565,-77.22224271,POINT (-77.22224271 39.87209565)
Huntingdon,10,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,31,31,42,61,40.416105,-77.9827661,POINT (-77.9827661 40.416105)
Philadelphia,1154,2019,,Any Drug Overdose Deaths,51,51,42,101,40.00444354,-75.140236,POINT (-75.140236 40.00444354)
Fayette,82,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,26,26,42,51,39.9194478,-79.65189635,POINT (-79.65189635 39.9194478)
Centre,,2019,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,14,14,42,27,40.9193135,-77.82500112,POINT (-77.82500112 40.9193135)
Montour,15,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,47,47,42,93,41.02801824,-76.66470527,POINT (-76.66470527 41.02801824)
Pennsylvania,5343,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,0,0,42,0,39.346129,-75.167756,POINT (-75.167756 39.346129)
Beaver,65,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,4,4,42,7,40.68349245,-80.35107356,POINT (-80.35107356 40.68349245)
Bucks,125,2015,,Any Drug Overdose Deaths,9,9,42,17,40.33501133,-75.11291241,POINT (-75.11291241 40.33501133)
Forest,0,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,27,27,42,53,41.51357876,-79.23780995,POINT (-79.23780995 41.51357876)
Fulton,,2013,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,29,29,42,57,39.92487511,-78.11485045,POINT (-78.11485045 39.92487511)
Cambria,95,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,11,11,42,21,40.49127491,-78.71894174,POINT (-78.71894174 40.49127491)
Schuylkill,30,2017,,Any Drug Overdose Deaths,54,54,42,107,40.70751243,-76.22332385,POINT (-76.22332385 40.70751243)
Lancaster,131,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,36,36,42,71,40.04590796,-76.25138768,POINT (-76.25138768 40.04590796)
Dauphin,69,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,22,22,42,43,40.41974636,-76.77960568,POINT (-76.77960568 40.41974636)
Luzerne,134,2019,,Any Drug Overdose Deaths,40,40,42,79,41.17836439,-75.9919961,POINT (-75.9919961 41.17836439)
Tioga,,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,59,59,42,117,41.77333834,-77.25788076,POINT (-77.25788076 41.77333834)
Mercer,63,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,43,43,42,85,41.30237777,-80.26009411,POINT (-80.26009411 41.30237777)
Perry,14,2018,,Any Drug Overdose Deaths,50,50,42,99,40.40415317,-77.25907385,POINT (-77.25907385 40.40415317)
Lebanon,19,2014,,Any Drug Overdose Deaths,38,38,42,75,40.367597,-76.46182575,POINT (-76.46182575 40.367597)
Mckean,,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,42,42,42,83,41.81037074,-78.5712202,POINT (-78.5712202 41.81037074)
Centre,,2012,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,14,14,42,27,40.9193135,-77.82500112,POINT (-77.82500112 40.9193135)
Warren,0,2013,,Any Drug Overdose Deaths,62,62,42,123,41.81675237,-79.27858158,POINT (-79.27858158 41.81675237)
Fayette,65,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,26,26,42,51,39.9194478,-79.65189635,POINT (-79.65189635 39.9194478)
Mckean,,2012,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,42,42,42,83,41.81037074,-78.5712202,POINT (-78.5712202 41.81037074)
Indiana,36,2017,,Any Drug Overdose Deaths,32,32,42,63,40.65295497,-79.09333493,POINT (-79.09333493 40.65295497)
Franklin,27,2019,,Any Drug Overdose Deaths,28,28,42,55,39.92786197,-77.72398845,POINT (-77.72398845 39.92786197)
Warren,,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,62,62,42,123,41.81675237,-79.27858158,POINT (-79.27858158 41.81675237)
York,53,2013,,Any Drug Overdose Deaths,67,67,42,133,39.92192531,-76.72576052,POINT (-76.72576052 39.92192531)
Berks,49,2013,,Any Drug Overdose Deaths,6,6,42,11,40.41939635,-75.93077327,POINT (-75.93077327 40.41939635)
Venango,,2013,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,61,61,42,121,41.40341259,-79.76286561,POINT (-79.76286561 41.40341259)
Beaver,84,2017,,Any Drug Overdose Deaths,4,4,42,7,40.68349245,-80.35107356,POINT (-80.35107356 40.68349245)
Juniata,,2015,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,34,34,42,67,40.53433008,-77.405775,POINT (-77.405775 40.53433008)
Lebanon,,2013,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,38,38,42,75,40.367597,-76.46182575,POINT (-76.46182575 40.367597)
Lycoming,19,2015,,Any Drug Overdose Deaths,41,41,42,81,41.34459792,-77.06942457,POINT (-77.06942457 41.34459792)
Armstrong,12,2012,,Any Drug Overdose Deaths,3,3,42,5,40.81509526,-79.47316899,POINT (-79.47316899 40.81509526)
Washington,64,2015,,Any Drug Overdose Deaths,63,63,42,125,40.19109663,-80.25180083,POINT (-80.25180083 40.19109663)
Dauphin,106,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,22,22,42,43,40.41974636,-76.77960568,POINT (-76.77960568 40.41974636)
Cumberland,82,2017,,Any Drug Overdose Deaths,21,21,42,41,40.16759839,-77.26866271,POINT (-77.26866271 40.16759839)
Allegheny,438,2015,,Any Drug Overdose Deaths,2,2,42,3,40.46735543,-79.98619843,POINT (-79.98619843 40.46735543)
Jefferson,10,2019,,Any Drug Overdose Deaths,33,33,42,65,41.13139091,-79.00101814,POINT (-79.00101814 41.13139091)
Luzerne,138,2016,,Any Drug Overdose Deaths,40,40,42,79,41.17836439,-75.9919961,POINT (-75.9919961 41.17836439)
Wyoming,,2019,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,66,66,42,131,41.51892488,-76.01813003,POINT (-76.01813003 41.51892488)
Montgomery,187,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,46,46,42,91,40.20989874,-75.37252001,POINT (-75.37252001 40.20989874)
Tioga,,2017,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,59,59,42,117,41.77333834,-77.25788076,POINT (-77.25788076 41.77333834)
Chester,111,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,15,15,42,29,39.97487056,-75.75626498,POINT (-75.75626498 39.97487056)
Washington,100,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,63,63,42,125,40.19109663,-80.25180083,POINT (-80.25180083 40.19109663)
Snyder,,2019,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,55,55,42,109,40.77113737,-77.07255968,POINT (-77.07255968 40.77113737)
Mercer,44,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,43,43,42,85,41.30237777,-80.26009411,POINT (-80.26009411 41.30237777)
Philadelphia,1278,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,51,51,42,101,40.00444354,-75.140236,POINT (-75.140236 40.00444354)
Lehigh,96,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,39,39,42,77,40.61464794,-75.60099481,POINT (-75.60099481 40.61464794)
Forest,0,2016,,Any Drug Overdose Deaths,27,27,42,53,41.51357876,-79.23780995,POINT (-79.23780995 41.51357876)
Bedford,,2018,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,5,5,42,9,40.00737536,-78.49116474,POINT (-78.49116474 40.00737536)
Blair,47,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,7,7,42,13,40.48555024,-78.34907687,POINT (-78.34907687 40.48555024)
Clinton,,2018,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,18,18,42,35,41.23286274,-77.6428376,POINT (-77.6428376 41.23286274)
Lebanon,23,2019,,Any Drug Overdose Deaths,38,38,42,75,40.367597,-76.46182575,POINT (-76.46182575 40.367597)
Delaware,198,2018,,Any Drug Overdose Deaths,23,23,42,45,39.91657867,-75.40627712,POINT (-75.40627712 39.91657867)
Huntingdon,,2014,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,31,31,42,61,40.416105,-77.9827661,POINT (-77.9827661 40.416105)
Jefferson,,2012,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,33,33,42,65,41.13139091,-79.00101814,POINT (-79.00101814 41.13139091)
Lackawanna,46,2012,,Any Drug Overdose Deaths,35,35,42,69,41.43910064,-75.61218345,POINT (-75.61218345 41.43910064)
Carbon,16,2014,,Any Drug Overdose Deaths,13,13,42,25,40.91936701,-75.71107039,POINT (-75.71107039 40.91936701)
Venango,11,2015,,Any Drug Overdose Deaths,61,61,42,121,41.40341259,-79.76286561,POINT (-79.76286561 41.40341259)
Montgomery,109,2012,,Any Drug Overdose Deaths,46,46,42,91,40.20989874,-75.37252001,POINT (-75.37252001 40.20989874)
Fayette,33,2014,,Any Drug Overdose Deaths,26,26,42,51,39.9194478,-79.65189635,POINT (-79.65189635 39.9194478)
Wyoming,,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,66,66,42,131,41.51892488,-76.01813003,POINT (-76.01813003 41.51892488)
Bradford,,2016,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,8,8,42,15,41.79117814,-76.51825624,POINT (-76.51825624 41.79117814)
Westmoreland,83,2012,,Any Drug Overdose Deaths,65,65,42,129,40.310315,-79.47134118,POINT (-79.47134118 40.310315)
Greene,12,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,30,30,42,59,39.85480393,-80.22943817,POINT (-80.22943817 39.85480393)
Monroe,26,2014,,Any Drug Overdose Deaths,45,45,42,89,41.06091787,-75.34083603,POINT (-75.34083603 41.06091787)
Butler,39,2022*,*2022 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,10,10,42,19,40.91083185,-79.91711779,POINT (-79.91711779 40.91083185)
Erie,89,2016,,Any Drug Overdose Deaths,25,25,42,49,41.99413787,-80.0407591,POINT (-80.0407591 41.99413787)
