Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Time Period Dates,Number of Days Hospitalized,Number of Days Hospitalized Description,Number of Days Hospitalized Notes,Estimated Lost Wages,Estimated Lost Wages Description,Estimated Lost State Income Tax Revenue,Estimated Lost State Income Tax Revenue Description,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude,Georeferenced Latitude & Longitude,Latitude,Longitude
County,Tioga,All,All (21 to 64 years),2016,2016 Q1,1/1/2016-3/31/2016,16,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1616.00,Lost wages dues to hospitalization for opioid use,49.61,Estimated state income tax revenue lost during hospitalizations due to opioid use,59,59,42,117,"(41.7733383358, -77.2578807579)",POINT (-77.2578807579 41.7733383358),41.77333834,-77.25788076
County,Cambria,All,All (21 to 64 years),2018,2018 Q2,4/1/2018-6/30/2018,48,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,5067.43,Lost wages dues to hospitalization for opioid use,155.57,Estimated state income tax revenue lost during hospitalizations due to opioid use,11,11,42,21,"(40.4912749067, -78.7189417385)",POINT (-78.7189417385 40.4912749067),40.49127491,-78.71894174
County,Dauphin,All,All (21 to 64 years),2019,2019 Annual,1/1/2019-12/31/2019,726,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,113175.57,Lost wages dues to hospitalization for opioid use,3474.49,Estimated state income tax revenue lost during hospitalizations due to opioid use,22,22,42,43,"(40.4197463597, -76.7796056802)",POINT (-76.7796056802 40.4197463597),40.41974636,-76.77960568
County,Armstrong,All,All (21 to 64 years),2018,2018 Q4,10/1/2018-12/31/2018,40,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,4720.00,Lost wages dues to hospitalization for opioid use,144.90,Estimated state income tax revenue lost during hospitalizations due to opioid use,3,3,42,5,"(40.8150952555, -79.4731689893)",POINT (-79.4731689893 40.8150952555),40.81509526,-79.47316899
County,Erie,All,All (21 to 64 years),2020,2020 Q4,10/1/2020-12/31/2020,259,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,35927.00,Lost wages dues to hospitalization for opioid use,1102.96,Estimated state income tax revenue lost during hospitalizations due to opioid use,25,25,42,49,"(41.9941378702, -80.0407591036)",POINT (-80.0407591036 41.9941378702),41.99413787,-80.0407591
County,Berks,All,All (21 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,1415,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,185687.00,Lost wages dues to hospitalization for opioid use,5700.59,Estimated state income tax revenue lost during hospitalizations due to opioid use,6,6,42,11,"(40.4193963513, -75.9307732705)",POINT (-75.9307732705 40.4193963513),40.41939635,-75.93077327
County,Lancaster,All,All (21 to 64 years),2019,2019 Q2,4/1/2019-6/30/2019,307,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,39690.71,Lost wages dues to hospitalization for opioid use,1218.50,Estimated state income tax revenue lost during hospitalizations due to opioid use,36,36,42,71,"(40.0459079619, -76.2513876838)",POINT (-76.2513876838 40.0459079619),40.04590796,-76.25138768
County,Crawford,All,All (21 to 64 years),2020,2020 Q1,1/1/2020-3/31/2020,47,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,5277.43,Lost wages dues to hospitalization for opioid use,162.02,Estimated state income tax revenue lost during hospitalizations due to opioid use,20,20,42,39,"(41.6854690692, -80.1132108295)",POINT (-80.1132108295 41.6854690692),41.68546907,-80.11321083
County,Delaware,All,All (21 to 64 years),2017,2017 Q4,10/1/2017-12/31/2017,3131,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,513484.00,Lost wages dues to hospitalization for opioid use,15763.96,Estimated state income tax revenue lost during hospitalizations due to opioid use,23,23,42,45,"(39.9165786652, -75.4062771212)",POINT (-75.4062771212 39.9165786652),39.91657867,-75.40627712
County,Columbia,All,All (21 to 64 years),2019,2019 Q3,7/1/2019-9/30/2019,26,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2923.14,Lost wages dues to hospitalization for opioid use,89.74,Estimated state income tax revenue lost during hospitalizations due to opioid use,19,19,42,37,"(41.0491208559, -76.4100217975)",POINT (-76.4100217975 41.0491208559),41.04912086,-76.4100218
County,Clearfield,All,All (21 to 64 years),2017,2017 Q3,7/1/2017-9/30/2017,22,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2310.00,Lost wages dues to hospitalization for opioid use,70.92,Estimated state income tax revenue lost during hospitalizations due to opioid use,17,17,42,33,"(41.0004290024, -78.4755834299)",POINT (-78.4755834299 41.0004290024),41.000429,-78.47558343
State,Commonwealth,Male,All (21 to 64 years),2018,2018 Q4,10/1/2018-12/31/2018,9405,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1555661.29,Lost wages dues to hospitalization for opioid use,47758.80,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
State,Commonwealth,All,35 to 49 years,2017,2017 Q2,4/1/2017-6/30/2017,5013,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,743093.00,Lost wages dues to hospitalization for opioid use,22812.96,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
State,Commonwealth,All,All (21 to 64 years),2020,2020 Q4,10/1/2020-12/31/2020,12672,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2411736.43,Lost wages dues to hospitalization for opioid use,74040.31,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Perry,All,All (21 to 64 years),2018,2018 Q1,1/1/2018-3/31/2018,61,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,5333.14,Lost wages dues to hospitalization for opioid use,163.73,Estimated state income tax revenue lost during hospitalizations due to opioid use,50,50,42,99,"(40.4041531744, -77.2590738496)",POINT (-77.2590738496 40.4041531744),40.40415317,-77.25907385
County,Fulton,All,All (21 to 64 years),2018,2018 Annual,1/1/2018-12/31/2018,2,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,278.57,Lost wages dues to hospitalization for opioid use,8.55,Estimated state income tax revenue lost during hospitalizations due to opioid use,29,29,42,57,"(39.9248751086, -78.1148504535)",POINT (-78.1148504535 39.9248751086),39.92487511,-78.11485045
County,Somerset,All,All (21 to 64 years),2018,2018 Q2,4/1/2018-6/30/2018,15,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1637.14,Lost wages dues to hospitalization for opioid use,50.26,Estimated state income tax revenue lost during hospitalizations due to opioid use,56,56,42,111,"(39.9714629901, -79.0310020611)",POINT (-79.0310020611 39.9714629901),39.97146299,-79.03100206
County,Franklin,All,All (21 to 64 years),2016,2016 Q3,7/1/2016-9/30/2016,202,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,23951.43,Lost wages dues to hospitalization for opioid use,735.31,Estimated state income tax revenue lost during hospitalizations due to opioid use,28,28,42,55,"(39.9278619704, -77.7239884483)",POINT (-77.7239884483 39.9278619704),39.92786197,-77.72398845
County,Sullivan,All,All (21 to 64 years),2020,2020 Q1,1/1/2020-3/31/2020,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,57,57,42,113,"(41.4480993958, -76.5147922046)",POINT (-76.5147922046 41.4480993958),41.4480994,-76.5147922
County,Forest,All,All (21 to 64 years),2020,2020 Q2,4/1/2020-6/30/2020,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,27,27,42,53,"(41.5135787577, -79.2378099483)",POINT (-79.2378099483 41.5135787577),41.51357876,-79.23780995
County,Dauphin,All,All (21 to 64 years),2020,2020 Q2,4/1/2020-6/30/2020,114,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,19070.57,Lost wages dues to hospitalization for opioid use,585.47,Estimated state income tax revenue lost during hospitalizations due to opioid use,22,22,42,43,"(40.4197463597, -76.7796056802)",POINT (-76.7796056802 40.4197463597),40.41974636,-76.77960568
County,Beaver,All,All (21 to 64 years),2019,2019 Q2,4/1/2019-6/30/2019,81,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,11351.57,Lost wages dues to hospitalization for opioid use,348.49,Estimated state income tax revenue lost during hospitalizations due to opioid use,4,4,42,7,"(40.6834924548, -80.3510735648)",POINT (-80.3510735648 40.6834924548),40.68349246,-80.35107356
County,Monroe,All,All (21 to 64 years),2020,2020 Q1,1/1/2020-3/31/2020,42,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,5370.00,Lost wages dues to hospitalization for opioid use,164.86,Estimated state income tax revenue lost during hospitalizations due to opioid use,45,45,42,89,"(41.0609178653, -75.3408360302)",POINT (-75.3408360302 41.0609178653),41.06091787,-75.34083603
County,Huntingdon,All,All (21 to 64 years),2019,2019 Q2,4/1/2019-6/30/2019,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,31,31,42,61,"(40.4161050032, -77.9827661036)",POINT (-77.9827661036 40.4161050032),40.416105,-77.9827661
County,Lycoming,All,All (21 to 64 years),2016,2016 Q3,7/1/2016-9/30/2016,14,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1634.00,Lost wages dues to hospitalization for opioid use,50.16,Estimated state income tax revenue lost during hospitalizations due to opioid use,41,41,42,81,"(41.3445979226, -77.069424568)",POINT (-77.069424568 41.3445979226),41.34459792,-77.06942457
County,Juniata,All,All (21 to 64 years),2020,2020 Q3,7/1/2020-9/30/2020,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,34,34,42,67,"(40.5343300836, -77.405775001)",POINT (-77.405775001 40.5343300836),40.53433008,-77.405775
County,Potter,All,All (21 to 64 years),2019,2019 Q3,7/1/2019-9/30/2019,1,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,115.43,Lost wages dues to hospitalization for opioid use,3.54,Estimated state income tax revenue lost during hospitalizations due to opioid use,53,53,42,105,"(41.7442064382, -77.8987922939)",POINT (-77.8987922939 41.7442064382),41.74420644,-77.89879229
County,Union,All,All (21 to 64 years),2016,2016 Q3,7/1/2016-9/30/2016,1,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,125.29,Lost wages dues to hospitalization for opioid use,3.85,Estimated state income tax revenue lost during hospitalizations due to opioid use,60,60,42,119,"(40.9647313096, -77.0641580308)",POINT (-77.0641580308 40.9647313096),40.96473131,-77.06415803
County,Blair,All,All (21 to 64 years),2017,2017 Q1,1/1/2017-3/31/2017,51,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,5478.86,Lost wages dues to hospitalization for opioid use,168.20,Estimated state income tax revenue lost during hospitalizations due to opioid use,7,7,42,13,"(40.4855502384, -78.349076871)",POINT (-78.349076871 40.4855502384),40.48555024,-78.34907687
County,Cambria,All,All (21 to 64 years),2019,2019 Q2,4/1/2019-6/30/2019,70,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,7620.00,Lost wages dues to hospitalization for opioid use,233.93,Estimated state income tax revenue lost during hospitalizations due to opioid use,11,11,42,21,"(40.4912749067, -78.7189417385)",POINT (-78.7189417385 40.4912749067),40.49127491,-78.71894174
County,Luzerne,All,All (21 to 64 years),2019,2019 Q4,10/1/2019-12/31/2019,147,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,18816.00,Lost wages dues to hospitalization for opioid use,577.65,Estimated state income tax revenue lost during hospitalizations due to opioid use,40,40,42,79,"(41.1783643884, -75.991996098)",POINT (-75.991996098 41.1783643884),41.17836439,-75.9919961
County,Columbia,All,All (21 to 64 years),2020,2020 Annual,1/1/2020-12/31/2020,95,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,11307.71,Lost wages dues to hospitalization for opioid use,347.15,Estimated state income tax revenue lost during hospitalizations due to opioid use,19,19,42,37,"(41.0491208559, -76.4100217975)",POINT (-76.4100217975 41.0491208559),41.04912086,-76.4100218
County,Montgomery,All,All (21 to 64 years),2020,2020 Q4,10/1/2020-12/31/2020,642,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,149952.86,Lost wages dues to hospitalization for opioid use,4603.55,Estimated state income tax revenue lost during hospitalizations due to opioid use,46,46,42,91,"(40.209898739, -75.3725200072)",POINT (-75.3725200072 40.209898739),40.20989874,-75.37252001
County,Adams,All,All (21 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,355,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,37852.71,Lost wages dues to hospitalization for opioid use,1162.08,Estimated state income tax revenue lost during hospitalizations due to opioid use,1,1,42,1,"(39.8720956503, -77.2222427076)",POINT (-77.2222427076 39.8720956503),39.87209565,-77.22224271
County,Fulton,All,All (21 to 64 years),2019,2019 Q4,10/1/2019-12/31/2019,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,29,29,42,57,"(39.9248751086, -78.1148504535)",POINT (-78.1148504535 39.9248751086),39.92487511,-78.11485045
County,Mifflin,All,All (21 to 64 years),2019,2019 Annual,1/1/2019-12/31/2019,81,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,9273.71,Lost wages dues to hospitalization for opioid use,284.70,Estimated state income tax revenue lost during hospitalizations due to opioid use,44,44,42,87,"(40.6127492804, -77.6200308901)",POINT (-77.6200308901 40.6127492804),40.61274928,-77.62003089
County,Carbon,All,All (21 to 64 years),2020,2020 Q3,7/1/2020-9/30/2020,11,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1230.43,Lost wages dues to hospitalization for opioid use,37.77,Estimated state income tax revenue lost during hospitalizations due to opioid use,13,13,42,25,"(40.9193670081, -75.7110703866)",POINT (-75.7110703866 40.9193670081),40.91936701,-75.71107039
County,Blair,All,All (21 to 64 years),2019,2019 Annual,1/1/2019-12/31/2019,254,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,30162.57,Lost wages dues to hospitalization for opioid use,925.99,Estimated state income tax revenue lost during hospitalizations due to opioid use,7,7,42,13,"(40.4855502384, -78.349076871)",POINT (-78.349076871 40.4855502384),40.48555024,-78.34907687
County,York,All,All (21 to 64 years),2020,2020 Q1,1/1/2020-3/31/2020,360,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,49577.14,Lost wages dues to hospitalization for opioid use,1522.02,Estimated state income tax revenue lost during hospitalizations due to opioid use,67,67,42,133,"(39.9219253124, -76.7257605231)",POINT (-76.7257605231 39.9219253124),39.92192531,-76.72576052
County,Union,All,All (21 to 64 years),2019,2019 Q3,7/1/2019-9/30/2019,11,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1428.43,Lost wages dues to hospitalization for opioid use,43.85,Estimated state income tax revenue lost during hospitalizations due to opioid use,60,60,42,119,"(40.9647313096, -77.0641580308)",POINT (-77.0641580308 40.9647313096),40.96473131,-77.06415803
State,Commonwealth,All,50 to 64 years,2016,2016 Q1,1/1/2016-3/31/2016,3408,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,500342.14,Lost wages dues to hospitalization for opioid use,15360.50,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Jefferson,All,All (21 to 64 years),2019,2019 Annual,1/1/2019-12/31/2019,14,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1533.00,Lost wages dues to hospitalization for opioid use,47.06,Estimated state income tax revenue lost during hospitalizations due to opioid use,33,33,42,65,"(41.1313909115, -79.0010181419)",POINT (-79.0010181419 41.1313909115),41.13139091,-79.00101814
County,Fayette,All,All (21 to 64 years),2017,2017 Q2,4/1/2017-6/30/2017,81,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,8354.57,Lost wages dues to hospitalization for opioid use,256.49,Estimated state income tax revenue lost during hospitalizations due to opioid use,26,26,42,51,"(39.919447803, -79.6518963464)",POINT (-79.6518963464 39.919447803),39.9194478,-79.65189635
County,Wayne,All,All (21 to 64 years),2016,2016 Q2,4/1/2016-6/30/2016,14,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1420.00,Lost wages dues to hospitalization for opioid use,43.59,Estimated state income tax revenue lost during hospitalizations due to opioid use,64,64,42,127,"(41.6496980525, -75.3051535022)",POINT (-75.3051535022 41.6496980525),41.64969805,-75.3051535
County,Warren,All,All (21 to 64 years),2016,2016 Q4,10/1/2016-12/31/2016,21,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2385.00,Lost wages dues to hospitalization for opioid use,73.22,Estimated state income tax revenue lost during hospitalizations due to opioid use,62,62,42,123,"(41.8167523652, -79.278581578)",POINT (-79.278581578 41.8167523652),41.81675237,-79.27858158
County,Bedford,All,All (21 to 64 years),2020,2020 Q2,4/1/2020-6/30/2020,3,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,318.43,Lost wages dues to hospitalization for opioid use,9.78,Estimated state income tax revenue lost during hospitalizations due to opioid use,5,5,42,9,"(40.0073753643, -78.4911647381)",POINT (-78.4911647381 40.0073753643),40.00737536,-78.49116474
County,Clarion,All,All (21 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,32,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2982.14,Lost wages dues to hospitalization for opioid use,91.55,Estimated state income tax revenue lost during hospitalizations due to opioid use,16,16,42,31,"(41.1927912877, -79.4248360769)",POINT (-79.4248360769 41.1927912877),41.19279129,-79.42483608
County,Westmoreland,All,All (21 to 64 years),2018,2018 Q2,4/1/2018-6/30/2018,134,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,16194.86,Lost wages dues to hospitalization for opioid use,497.18,Estimated state income tax revenue lost during hospitalizations due to opioid use,65,65,42,129,"(40.3103149985, -79.471341176)",POINT (-79.471341176 40.3103149985),40.310315,-79.47134118
County,Schuylkill,All,All (21 to 64 years),2019,2019 Q2,4/1/2019-6/30/2019,67,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,7886.86,Lost wages dues to hospitalization for opioid use,242.13,Estimated state income tax revenue lost during hospitalizations due to opioid use,54,54,42,107,"(40.707512431, -76.223323851)",POINT (-76.223323851 40.707512431),40.70751243,-76.22332385
County,Indiana,All,All (21 to 64 years),2017,2017 Q3,7/1/2017-9/30/2017,16,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1979.43,Lost wages dues to hospitalization for opioid use,60.77,Estimated state income tax revenue lost during hospitalizations due to opioid use,32,32,42,63,"(40.6529549748, -79.0933349286)",POINT (-79.0933349286 40.6529549748),40.65295498,-79.09333493
County,Wyoming,All,All (21 to 64 years),2019,2019 Annual,1/1/2019-12/31/2019,2,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,276.86,Lost wages dues to hospitalization for opioid use,8.50,Estimated state income tax revenue lost during hospitalizations due to opioid use,66,66,42,131,"(41.5189248803, -76.0181300338)",POINT (-76.0181300338 41.5189248803),41.51892488,-76.01813003
State,Commonwealth,Female,All (21 to 64 years),2016,2016 Q4,10/1/2016-12/31/2016,4912,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,739448.29,Lost wages dues to hospitalization for opioid use,22701.06,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Columbia,All,All (21 to 64 years),2020,2020 Q3,7/1/2020-9/30/2020,66,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,7750.29,Lost wages dues to hospitalization for opioid use,237.93,Estimated state income tax revenue lost during hospitalizations due to opioid use,19,19,42,37,"(41.0491208559, -76.4100217975)",POINT (-76.4100217975 41.0491208559),41.04912086,-76.4100218
County,Cameron,All,All (21 to 64 years),2017,2017 Q1,1/1/2017-3/31/2017,9,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,984.86,Lost wages dues to hospitalization for opioid use,30.24,Estimated state income tax revenue lost during hospitalizations due to opioid use,12,12,42,23,"(41.4388026531, -78.2091693241)",POINT (-78.2091693241 41.4388026531),41.43880265,-78.20916932
County,Lackawanna,All,All (21 to 64 years),2020,2020 Q4,10/1/2020-12/31/2020,47,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,6660.57,Lost wages dues to hospitalization for opioid use,204.48,Estimated state income tax revenue lost during hospitalizations due to opioid use,35,35,42,69,"(41.4391006428, -75.6121834524)",POINT (-75.6121834524 41.4391006428),41.43910064,-75.61218345
County,Bradford,All,All (21 to 64 years),2019,2019 Q3,7/1/2019-9/30/2019,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,8,8,42,15,"(41.7911781401, -76.5182562384)",POINT (-76.5182562384 41.7911781401),41.79117814,-76.51825624
County,Susquehanna,All,All (21 to 64 years),2016,2016 Q1,1/1/2016-3/31/2016,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,58,58,42,115,"(41.8205685982, -75.8025030296)",POINT (-75.8025030296 41.8205685982),41.8205686,-75.80250303
County,Armstrong,All,All (21 to 64 years),2020,2020 Q4,10/1/2020-12/31/2020,119,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,16014.00,Lost wages dues to hospitalization for opioid use,491.63,Estimated state income tax revenue lost during hospitalizations due to opioid use,3,3,42,5,"(40.8150952555, -79.4731689893)",POINT (-79.4731689893 40.8150952555),40.81509526,-79.47316899
County,Lawrence,All,All (21 to 64 years),2020,2020 Q2,4/1/2020-6/30/2020,10,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1222.86,Lost wages dues to hospitalization for opioid use,37.54,Estimated state income tax revenue lost during hospitalizations due to opioid use,37,37,42,73,"(40.9932503514, -80.3375411446)",POINT (-80.3375411446 40.9932503514),40.99325035,-80.33754114
County,Butler,All,All (21 to 64 years),2019,2019 Q1,1/1/2019-3/31/2019,159,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,23441.14,Lost wages dues to hospitalization for opioid use,719.64,Estimated state income tax revenue lost during hospitalizations due to opioid use,10,10,42,19,"(40.9108318483, -79.9171177889)",POINT (-79.9171177889 40.9108318483),40.91083185,-79.91711779
County,Forest,All,All (21 to 64 years),2017,2017 Q3,7/1/2017-9/30/2017,6,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,737.14,Lost wages dues to hospitalization for opioid use,22.63,Estimated state income tax revenue lost during hospitalizations due to opioid use,27,27,42,53,"(41.5135787577, -79.2378099483)",POINT (-79.2378099483 41.5135787577),41.51357876,-79.23780995
County,Fayette,All,All (21 to 64 years),2017,2017 Q4,10/1/2017-12/31/2017,29,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,3136.14,Lost wages dues to hospitalization for opioid use,96.28,Estimated state income tax revenue lost during hospitalizations due to opioid use,26,26,42,51,"(39.919447803, -79.6518963464)",POINT (-79.6518963464 39.919447803),39.9194478,-79.65189635
County,Monroe,All,All (21 to 64 years),2016,2016 Q4,10/1/2016-12/31/2016,49,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,5544.00,Lost wages dues to hospitalization for opioid use,170.20,Estimated state income tax revenue lost during hospitalizations due to opioid use,45,45,42,89,"(41.0609178653, -75.3408360302)",POINT (-75.3408360302 41.0609178653),41.06091787,-75.34083603
County,Carbon,All,All (21 to 64 years),2017,2017 Annual,1/1/2017-12/31/2017,165,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,16235.71,Lost wages dues to hospitalization for opioid use,498.44,Estimated state income tax revenue lost during hospitalizations due to opioid use,13,13,42,25,"(40.9193670081, -75.7110703866)",POINT (-75.7110703866 40.9193670081),40.91936701,-75.71107039
County,Washington,All,All (21 to 64 years),2016,2016 Annual,1/1/2016-12/31/2016,468,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,67340.00,Lost wages dues to hospitalization for opioid use,2067.34,Estimated state income tax revenue lost during hospitalizations due to opioid use,63,63,42,125,"(40.1910966345, -80.2518008276)",POINT (-80.2518008276 40.1910966345),40.19109664,-80.25180083
County,McKean,All,All (21 to 64 years),2019,2019 Q1,1/1/2019-3/31/2019,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,42,42,42,83,"(41.810370736, -78.5712201998)",POINT (-78.5712201998 41.810370736),41.81037074,-78.5712202
County,Mercer,All,All (21 to 64 years),2019,2019 Annual,1/1/2019-12/31/2019,244,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,29050.29,Lost wages dues to hospitalization for opioid use,891.84,Estimated state income tax revenue lost during hospitalizations due to opioid use,43,43,42,85,"(41.302377765, -80.2600941079)",POINT (-80.2600941079 41.302377765),41.30237777,-80.26009411
County,Fulton,All,All (21 to 64 years),2017,2017 Q1,1/1/2017-3/31/2017,21,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,2658.00,Lost wages dues to hospitalization for opioid use,81.60,Estimated state income tax revenue lost during hospitalizations due to opioid use,29,29,42,57,"(39.9248751086, -78.1148504535)",POINT (-78.1148504535 39.9248751086),39.92487511,-78.11485045
County,Lackawanna,All,All (21 to 64 years),2019,2019 Q1,1/1/2019-3/31/2019,68,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,7888.00,Lost wages dues to hospitalization for opioid use,242.16,Estimated state income tax revenue lost during hospitalizations due to opioid use,35,35,42,69,"(41.4391006428, -75.6121834524)",POINT (-75.6121834524 41.4391006428),41.43910064,-75.61218345
County,Venango,All,All (21 to 64 years),2017,2017 Q1,1/1/2017-3/31/2017,35,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,3535.00,Lost wages dues to hospitalization for opioid use,108.52,Estimated state income tax revenue lost during hospitalizations due to opioid use,61,61,42,121,"(41.4034125863, -79.7628656104)",POINT (-79.7628656104 41.4034125863),41.40341259,-79.76286561
State,Commonwealth,Female,All (21 to 64 years),2018,2018 Q3,7/1/2018-9/30/2018,7087,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1076635.14,Lost wages dues to hospitalization for opioid use,33052.70,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Dauphin,All,All (21 to 64 years),2019,2019 Q4,10/1/2019-12/31/2019,191,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,30860.14,Lost wages dues to hospitalization for opioid use,947.41,Estimated state income tax revenue lost during hospitalizations due to opioid use,22,22,42,43,"(40.4197463597, -76.7796056802)",POINT (-76.7796056802 40.4197463597),40.41974636,-76.77960568
